Fecha:,12/11/2023 12:00,,,,,,,,,,,,
Provincia,Municipio,Localidad,Código postal,Dirección,Longitud,Latitud,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasóleo A,Precio gasóleo B,Precio gasóleo de uso marítimo,Rótulo,Horario
ALICANTE,ALICANTE/ALACANT,ALICANTE/ALACANT,03001,MUELLE 8 ZONA DE LEVANTE S/N,-0.481472,38.339167,1.699,,1.669,,,MARINA ALICANTE,L-D: 08:00-21:00
ALICANTE,ALTEA,ALTEA,03590,PUERTO DEPORTIVO LUIS CAMPOMANES S/N - PARTIDA MASCARAT,-0.003833,38.629556,1.890,,1.785,,,,M-D: 10:00-18:00
ALICANTE,CALPE/CALP,CALPE,03710,EXPLANADA DEL PUERTO PESQUERO S/N,0.069162,38.637313,,,,1003.000,,COFRADIA DE PESCADORES DE CALPE,L-V: 08:00-13:30 y 15:30-19:30; S: 09:00-13:00
ALICANTE,DÉNIA,DENIA,03700,PUERTO PESQUERO DE DENIA S/N,0.113056,38.843611,,,,,870.000,NO HAY,L-V: 08:00-13:00 y 16:30-19:30
ALICANTE,DÉNIA,DENIA,03700,DARSENA DE BABOR S/N PUERTO DE DENIA,0.119139,38.567556,1.909,,1.829,,,MARINA DE DENIA S.A,L-D: 24H
ALICANTE,JÁVEA/XÀBIA,JÁVEA/XÀBIA,03730,BURDEOS 1,0.186222,38.775722,1.987,,,,,NOU FONTANA,L-D: 24H
ALICANTE,ORIHUELA,DEHESA DE CAMPOAMOR,03192,CALDERON DE LA BARCA 2,-0.730588,37.910535,1.800,,1.750,,,REPSOL,L-D: 08:00-14:00 y 16:00-21:00
ALICANTE,SANTA POLA,SANTA POLA,03130,ZONA PORTUARIA 35,-0.558583,38.187389,1.555,,1.515,,950.000,COFRADÍA DE PESCADORES,L-V: 09:00-13:00 y 16:00-20:00
ALICANTE,SANTA POLA,SANTA POLA,03130,MUELLE NORTE S/N PUERTO DEPORTIVO 2,-0.560556,38.189306,1.645,,1.585,,,MARINA MIRAMAR,L-D: 24H
ALICANTE,TORREVIEJA,TORREVIEJA,03181,Pº VISTALEGRE SN DIQUE DE LEVANTE,-0.682222,37.972833,1.749,,1.715,,,MARINA SALINAS DE TORREVIEJA,L-D: 07:00-20:30
ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),VILLAJOYOSA / VILA JOIOSA (LA),03570,PUERTO PESQUERO,-0.218833,38.506306,1.679,,1.589,,818.000,COFRADIA,L-V: 08:00-21:00; S-D: 08:00-15:00
ALMERÍA,CARBONERAS,CARBONERAS,04140,MUELLE PESQUERO DE CARBONERAS S/Nº,-1.897068,36.991802,1.686,,1.750,729.000,,REPSOL,L-D: 24H
ALMERÍA,GARRUCHA,GARRUCHA,04630,PUERTO PESQUERO S/Nº,-1.819013,37.181802,1.686,,1.750,729.000,,REPSOL,L-D: 24H
ALMERÍA,NÍJAR,SAN JOSE,04118,C/ DEL PUERTO S7Nº,-2.102694,36.762222,1.790,,1.820,,,GALP,L-D: 09:00-13:00 y 15:00-19:00
ASTURIAS,GIJÓN,GIJON,33201,EDIFICIO ANTIGUA RULA C/CLAUDIO ALVARGONZALEZ S/N,-5.666444,43.546472,1.859,,1.814,,,REPSOL,L-D: 09:00-16:30
ASTURIAS,VALDÉS,LUARCA,33700,PUERTO PESQUERO S/N,-6.533389,43.546167,,,,797.000,,REPSOL,L: 14:00-18:00; J: 14:00-18:00
BALEARS (ILLES),ALCÚDIA,ALCUDIA,07400,PASEO MARITIMO 1,3.134806,39.836944,1.780,,1.790,,,ALCUDIAMAR,L-D: 24H
BALEARS (ILLES),ALCÚDIA,ALCUDIA,07400,ARRANQUE MUELLE PESQUERO S/Nº,3.135361,39.838250,,,,774.000,,REPSOL,L-V: 09:00-14:00 y 15:00-18:00
BALEARS (ILLES),ANDRATX,ANDRATX,07150,MUELLE PESQUERO S/Nº,2.389461,39.545484,,,,774.000,,REPSOL,L-D: 24H
BALEARS (ILLES),CAMPOS,RAPITA (SA),07639,EXPLANADA DEL PUERTO S/N,2.951099,39.359178,1.869,,1.879,,,CLUB NAUTICO LA RAPITA,L-S: 08:00-18:00; D: 08:00-13:00
BALEARS (ILLES),CAPDEPERA,CALA RATJADA,07590,MUELLE PESQUERO S/Nº,3.464183,39.709928,1.747,,1.757,774.000,,REPSOL,L-D: 24H
BALEARS (ILLES),EIVISSA,EIVISSA,07800,MUELLE COMERCIAL S/Nº,1.439183,38.913817,,,,774.000,,REPSOL,L-D: 24H
BALEARS (ILLES),EIVISSA,EIVISSA,07800,PASSEIG JOAN CARLES I 20,1.443722,38.913806,1.866,,1.866,,,REPSOL,L-D: 09:00-14:00 y 16:00-20:00
BALEARS (ILLES),MERCADAL (ES),FORNELLS,07748,PASSATGE ES PLA S/N,4.129750,40.056806,1.759,,1.759,,,U.S.PUERTO FORNELLS,X: 09:00-13:00
BALEARS (ILLES),PALMA DE MALLORCA,PALMA,07001,MUELLE VIEJO S/N ESPIGÓN EXTERIOR,2.638278,39.564667,,,1.750,,,STP,L-D: 08:00-20:00
BALEARS (ILLES),PALMA DE MALLORCA,PALMA,07012,MUELLE VIEJO S/Nº (EL MOLLET),2.640572,39.566595,,,1.757,774.000,,REPSOL,L-D: 24H
BALEARS (ILLES),SANTANYÍ,CALA FIGUERA,07659,MUELLE S/Nº SANTANY,3.170294,39.331317,,,,774.000,,REPSOL,L-D: 24H
BALEARS (ILLES),SÓLLER,SOLLER,07100,MUELLE COMERCIAL S/Nº,2.694461,39.797150,1.747,,1.757,774.000,,REPSOL,L-D: 24H
BALEARS (ILLES),SON SERVERA,CALA BONA,07559,NUEVO PUERTO DE LAREDO S/Nº,3.392472,39.613917,,,1.757,774.000,,REPSOL,L-D: 09:00-13:00 y 15:00-20:00
BARCELONA,BARCELONA,BARCELONA,08003,MUELLE DE BALEARES S/Nº,2.185510,41.372778,,,,789.000,,REPSOL,L-D: 24H
BARCELONA,SITGES,SITGES,08870,TORRE CAPITANIA  S N    PUERTO DEPORTIVO AIGUADOLC,,,1.728,,1.700,,,REPSOL,L-D: 09:30-18:30
BARCELONA,SITGES,GARRAF,08870,PORT DEL GARRAF,1.900056,41.249306,1.693,,1.658,,,PETROPRIX,L-D: 08:00-18:00
BARCELONA,VILANOVA I LA GELTRÚ,VILANOVA I LA GELTRU,08800,LG ENTRE MUELLE DE LA LLOTJA Y PESCADO,1.735861,41.215917,,,,802.000,,COFRADIA DE PESCADORS DE VILANOVA I LA GELTRU,L-D: 24H
BIZKAIA,BERMEO,BERMEO,48370,MUELLE NUEVO S/Nº,-2.718222,43.417250,,,,745.000,,REPSOL,L-D: 24H
BIZKAIA,ONDARROA,ONDARROA,48700,EGUIDAZU KAIA S/N,-2.419056,43.326417,,,,742.000,,REPSOL,L-D: 24H
CÁDIZ,CHIPIONA,CHIPIONA,11550,PUERTO PESQUERO DEPORTIVO S/Nº,-6.429944,36.746500,1.657,,1.672,819.000,,REPSOL,L-D: 24H
CÁDIZ,CONIL DE LA FRONTERA,CONIL DE LA FRONTERA,11140,LONJA DE PESCADO DE CONIL DE LA FRONTERA,-6.136889,36.294389,1.560,,1.620,1060.000,,TRAFALGAR OILS,L: 10:00-14:00 y 16:00-19:00
CANTABRIA,CASTRO-URDIALES,CASTRO URDIALES,39700,MUELLE EQUILIÓN S/N,-3.221000,43.382444,1.718,,1.728,747.000,,REPSOL,L-V: 09:00-13:00
CANTABRIA,COLINDRES,COLINDRES,39750,MUELLE PESQUERO S/Nº,-3.463033,43.393903,1.718,,1.728,747.000,,REPSOL,L-D: 24H
CANTABRIA,LAREDO,LAREDO,39770,NUEVO PUERTO DE LAREDO S/Nº,-3.415444,43.418778,1.718,,1.728,747.000,,REPSOL,L-S: 09:00-13:00 y 14:00-18:00
CANTABRIA,MARINA DE CUDEYO,PEDREÑA,39130,BARRIO LA BARQUERIA 151-ES,-3.766472,43.447167,1.845,,1.849,,,REPSOL,L-D: 06:00-21:30
CANTABRIA,SAN VICENTE DE LA BARQUERA,SAN VICENTE DE LA BARQUERA,39540,AVDA. ANTONIO GARELY S/Nº,-4.397755,43.385014,,,1.728,747.000,,REPSOL,L-D: 24H
CANTABRIA,SANTANDER,SANTANDER,39009,PUERTO PSQUERO,-3.821333,43.449222,,,,747.000,,REPSOL,L-J: 09:00-13:00 y 14:00-18:00
CANTABRIA,SANTOÑA,SANTOÑA,39740,MUELLE PESQUERO S/Nº,-3.463310,43.441959,1.718,,1.728,747.000,,REPSOL,L-D: 24H
CANTABRIA,SUANCES,SUANCES,39340,MUELLE PESQUERO S/Nº,-4.035255,43.425292,1.718,,1.728,747.000,,REPSOL,L-D: 24H
CASTELLÓN / CASTELLÓ,ALCALÀ DE XIVERT,ALCOSSEBRE,12579,PM PUERTO DEPORTIVO LAS FUENTES DE ALCOCEBRE,0.280667,40.247972,1.795,,1.715,,,,L-D: 09:00-13:00 y 16:00-19:00
CASTELLÓN / CASTELLÓ,BURRIANA,BURRIANA,12530,MUELLE DE PONIENTE,-0.069139,39.859056,1.780,,1.810,,,MARINA BURRIANANOVA S.A.,L-D: 24H
CASTELLÓN / CASTELLÓ,CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA,CASTELLON DE LA PLANA,12100,ESCOLLERA DE PONIENTE S/N,0.020639,39.968583,1.897,,1.773,,,REAL CLUB NAUTICO DE CASTELLON,L-D: 24H
CASTELLÓN / CASTELLÓ,CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA,CASTELLON DE LA PLANA,12100,MUELLE PESQUERO S/Nº,-0.019836,39.966340,,,,754.000,,REPSOL,L-D: 24H
CASTELLÓN / CASTELLÓ,OROPESA DEL MAR/ORPESA,OROPESA,12594,PARTIDA DENOMINADA PUERTO DEPORTIVO,0.146806,40.081306,1.876,,1.807,,,CLUB NAUTICO DE OROPESA,L-D: 24H
CASTELLÓN / CASTELLÓ,PEÑÍSCOLA,PEÑISCOLA,12598,EXPLANADA  DEL PUERTO S/N,0.406167,40.356417,,,,799.000,,NINGUNO,L-V: 09:00-13:00 y 15:00-19:00
CORUÑA (A),CAMARIÑAS,CAMARIÑAS,15123,MUELLE PESQUERO S/Nº,-9.182914,43.128027,,,,827.000,785.000,REPSOL,L-D: 24H
CORUÑA (A),CARIÑO,CARIÑO,15593,MUELLE PESQUERO S/Nº,-7.866525,43.737749,,,,812.000,783.000,REPSOL,L-D: 24H
CORUÑA (A),CORUÑA (A),CORUÑA (A),15001,PASEO MARITIMO ALCALDE FCO VAZQUEZ S/N ,-8.383556,43.366889,1.696,,1.738,,,MARINA CORUÑA,L-D: 24H
CORUÑA (A),CORUÑA (A),CORUÑA (A),15006,DÁRSENA DE OZA S/Nº,-8.379303,43.348582,,,,752.000,,REPSOL,L-D: 24H
CORUÑA (A),FERROL,FERROL,15401,MUELLE DE CRUXEIRAS S/Nº,-8.244303,43.478304,1.678,,1.710,827.000,785.000,REPSOL,L-D: 24H
CORUÑA (A),FISTERRA,FISTERRA,15155,MUELLE PESQUERO S/Nº,-9.001525,42.998860,,,,827.000,783.000,REPSOL,L-D: 24H
CORUÑA (A),LAXE,LAXE,15117,MUELLE PESQUERO S/Nº,-9.001803,43.223304,,,,837.000,783.000,REPSOL,L-D: 24H
CORUÑA (A),MALPICA DE BERGANTIÑOS,MALPICA,15113,MUELLE PESQUERO S/Nº,-8.808192,43.323304,,,,837.000,785.000,REPSOL,L-D: 24H
CORUÑA (A),MUROS,MUROS,15250,MUELLE PESQUERO S/N,-9.055969,42.776082,1.678,,1.686,837.000,785.000,REPSOL,L-D: 24H
CORUÑA (A),MUXÍA,MUXIA,15124,MUELLE PESQUERO S/Nº,-9.214858,43.105804,,,,837.000,,REPSOL,L-D: 24H
CORUÑA (A),POBRA DO CARAMIÑAL (A),POBRA DO CARAMIÑAL,15940,MUELLE COMERCIAL S/N,-8.935417,42.609083,1.669,,1.689,970.000,,AVIA,L-D: 07:00-23:00
CORUÑA (A),PORTO DO SON,PORTO DO SON,15970,MUELLE PESQUERO S/Nº,-9.003469,42.726638,,,,829.000,,REPSOL,L-D: 24H
CORUÑA (A),PORTO DO SON,PORTOSIN,15999,MUELLE PESQUERO S/Nº,-8.947358,42.760804,,,,812.000,,REPSOL,L-D: 24H
CORUÑA (A),RIANXO,RIANXO,15920,PORTO DE RIANXO S/N,-8.822417,42.647389,1.709,,1.699,950.000,,VALCARCE,L: 07:00-23:00
CORUÑA (A),RIBEIRA,SANTA UXIA DE RIBEIRA,15960,MUELLE PESQUERO S/Nº,-8.989025,42.561360,,,,772.000,,REPSOL,L-D: 24H
CORUÑA (A),SADA,SADA,15160,MUELLE PESQUERO S/Nº,-8.246525,43.362749,1.678,,1.710,837.000,783.000,REPSOL,L-D: 24H
CORUÑA (A),SADA,SADA,15160,AVENIDA DEL PUERTO S/N,-8.248306,43.357556,1.690,,1.730,,,SADAMAR - GALP,L-D: 24H
GIPUZKOA,GETARIA,GETARIA,20808,MUELLE PESQUERO S/N,-2.127945,43.275584,,,,745.000,,REPSOL,L-D: 24H
GIPUZKOA,HONDARRIBIA,HONDARRIBIA,20280,PASEO IRIBARREN S/N,-1.790722,43.388361,,,,745.000,,REPSOL,L-D: 24H
GIPUZKOA,PASAIA,PASAI DONIBANE,20110,MUELLE DONI-BANE S/N,-1.911389,43.322250,,,,745.000,,REPSOL,L-D: 08:00-13:00 y 15:00-17:00
GIRONA,BLANES,BLANES,17300,ESPLANADA DEL PORT S/N,2.797889,41.675083,1.839,,1.719,,,CLUB VELA BLANES,L-D: 24H
GIRONA,BLANES,BLANES,17300,ESPLANADA DEL PORTS/N,2.791333,41.675917,,,,885.000,,PETROCAT,L-V: 15:00-18:00
GIRONA,CASTELLÓ D'EMPÚRIES,CASTELLO D'EMPURIES,17487,SECTOR CLUB NAUTICO S.N.,,,,1.770,1.740,,,E.S. MARINA EMPURIABRAVA,L: 09:00-13:00 y 15:00-19:00
GIRONA,ESCALA (L'),ESCALA (L'),17130,PORT LA CLOTA S/N,3.126222,42.119194,1.729,,1.669,,,CLUB NAUTIC L'ESCALA,L-D: 24H
GIRONA,PALAFRUGELL,LLAFRANC,17200,PUERTO DEPORTIVO S/N,,,,1.760,1.730,,,REPSOL YPF,L-D: 09:00-13:00 y 16:00-18:00
GIRONA,PALAMÓS,PALAMOS,17230,MUELLE PESQUERO S/N,3.036364,41.779180,,,,793.000,,REPSOL,L-D: 24H
GIRONA,PORT DE LA SELVA (EL),PORT DE LA SELVA (EL),17489,LLOIA S/N,,,1.889,,1.779,,,NINGUNO,L: 09:00-13:00 y 15:00-17:00
GIRONA,ROSES,ROSES,17480,ZONA DE DIC ABRIC - PUERTO DEPORTIVO DE ROSES,,,1.889,,1.749,,,PETREM MAR,L-D: 24H
GIRONA,ROSES,ROSES,17480,MUELLE PESQUERO S/Nº,3.179420,42.252791,,,,784.000,,REPSOL,L-D: 24H
GIRONA,SANT FELIU DE GUÍXOLS,SANT FELIU DE GUIXOLS,17220,ZONA ESPORTIVA DEL PORT S/Nº,3.030528,41.773889,1.759,,1.720,,,CLUB NAUTIC SANT FELIU DE GUIXOLS,L-D: 24H
GIRONA,SELVA DE MAR (LA),SELVA DE MAR (LA) NUCLI,17489,MUELLE PESQUERO S/Nº,3.200253,42.340846,,,,799.000,,REPSOL,L-D: 24H
GIRONA,TORROELLA DE MONTGRÍ,TORROELLA DE MONTGRI,17258,ESPLANA DEL PORT S/N L'ESTARTIT,3.203972,42.052278,,,,909.000,,,X: 08:00-12:00; V: 08:00-12:00
GIRONA,TORROELLA DE MONTGRÍ,TORROELLA DE MONTGRI,17258,PASSEIG MARÍTIM S/N,,,1.884,,1.747,,,CLUB NAUTIC ESTARTIT,L: 08:00-17:45
HUELVA,PUNTA UMBRÍA,PUNTA UMBRIA,21100,MUELLE DEPORTIVO PUNTA UMBRIA S/N - AVDA. LA RIA S/N,-6.959417,37.181750,1.739,,1.749,,,CEPSA,L-V: 09:30-13:00 y 15:00-17:30; S: 09:30-13:00
LUGO,BURELA,BURELA,27880,MUELLE PESQUERO S/Nº,-7.254818,43.660537,,,,762.000,723.000,REPSOL,L-D: 24H
LUGO,RIBADEO,RIBADEO,27700,MUELLE PESQUERO S/Nº,-7.038707,43.532759,,,,827.000,,REPSOL,L-D: 24H
LUGO,VIVEIRO,CELEIRO,27863,MUELLE PESQUERO S/Nº,-7.595929,43.676370,,,,762.000,,REPSOL,L-D: 24H
MÁLAGA,FUENGIROLA,FUENGIROLA,29640,PUERTO PESQUERO-DEPORTIVO,-4.615750,36.542333,1.837,,1.833,809.000,,REPSOL,L-D: 24H
MÁLAGA,MANILVA,MANILVA,29691,PUERTO DEPORTIVO DE LA DUQUESA,,,1.876,,1.875,,,REPSOL,L-D: 24H
MÁLAGA,MARBELLA,MARBELLA,29600,PUERTO DEPORTIVO MARBELLA,-4.889944,36.505833,1.719,,1.749,,,ENERPUS,L-D: 24H
MÁLAGA,VÉLEZ-MÁLAGA,CALETA DE VELEZ,29751,PUERTO PESQUEROS/Nº,-4.069361,36.747611,1.825,,1.823,799.000,,REPSOL,L-D: 24H
MELILLA,MELILLA,MELILLA,52001,Pº MARITIMO ALCALDE RAFAEL GINEL S/N,-2.933278,35.288500,1.253,,1.254,,,SHELL,L-D: 08:00-22:00
