Fecha:,12/11/2023 12:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gasóleo A,Precio gasóleo Premium,Precio gasóleo B,Precio gasóleo C,Precio bioetanol,% bioalcohol,Precio biodiésel,% éster metílico,Precio gases licuados del petróleo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidrógeno,Rótulo,Horario
ALBACETE,ABENGIBRE,ABENGIBRE,02250,AVENIDA CASTILLA LA MANCHA 26,D,-1.539167,39.211417,11/11/2023 13:41,1.579,,,,,1.519,,1.129,,,,,,,,,,Nº 10.935,L-D: 07:00-22:00
ALBACETE,ALBACETE,ALBACETE,02001,CALLE FEDERICO GARCIA LORCA 5,I,-1.846361,38.997722,10/11/2023 12:58,,,,,,1.680,,,,,,,,,,,,CEPSA,L-S: 05:00-23:00
ALBACETE,ALBACETE,ALBACETE,02001,CALLE FEDERICO GARCIA LORCA 1,D,-1.849833,39.000861,10/11/2023 01:50,1.509,,,,,1.529,,,,,,,,,,,,PLENOIL,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02001,AVENIDA 1º DE MAYO S/N,N,-1.868500,38.985667,10/11/2023 12:15,1.629,,,1.799,,1.619,1.659,,,,,,,,,,,CARREFOUR,L-S: 08:00-22:00; D: 09:00-21:00
ALBACETE,ALBACETE,ALBACETE,02001,CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA) 5,I,-1.832000,39.054694,11/11/2023 00:00,1.619,,,1.761,,1.659,1.749,,,,,,,,,,,BP ROMICA,L-D: 06:00-21:30
ALBACETE,ALBACETE,ALBACETE,02005,AVENIDA MENÉNDEZ PIDAL 58,N,-1.864917,39.003333,10/11/2023 10:07,1.629,,,1.749,,1.649,1.719,,,,,,,,,,,TAMOS,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02005,AVENIDA ESCRITOR RODRIGO RUBIO 3,D,-1.885361,39.006889,08/11/2023 00:18,1.588,,,,,1.538,1.598,,,,,,,0.828,,,,A&A,L-S: 09:00-21:30
ALBACETE,ALBACETE,ALBACETE,02005,PASEO CUBA (LA) 36,N,-1.859917,39.005083,12/11/2023 00:00,1.639,,,1.771,,1.655,1.721,,,,,,,0.949,,,,CEPSA,L-D: 06:00-23:00
ALBACETE,ALBACETE,ALBACETE,02005,CL PASEO DE LA CUBA 15,D,-1.854556,38.999722,12/11/2023 00:00,1.629,,,1.739,,1.649,1.719,,,,,,,0.939,,,,REPSOL,L-D: 06:00-22:00
ALBACETE,ALBACETE,ALBACETE,02002,CALLE HERMANOS FALCÓ 2,D,-1.849028,38.989250,12/11/2023 07:54,1.639,,,1.779,,1.659,1.739,,,,,,,,,,,CEPSA,L-D: 06:30-22:30
ALBACETE,ALBACETE,ALBACETE,02006,PG CAMPOLLANO-P. 2-CT S.N.,D,-1.874972,39.012583,12/11/2023 00:00,1.619,,,1.729,,1.659,1.729,,,,,,,,,,,REPSOL,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00
ALBACETE,ALBACETE,ALBACETE,02006,CR N-301 244,I,-1.892972,39.027778,12/11/2023 00:00,1.619,,,1.729,,1.659,1.729,,,,,,,,,,,REPSOL,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02006,CARRETERA N-322 KM. 359,D,-1.845083,39.033139,12/11/2023 00:00,1.619,,,1.749,,1.649,1.739,,,,,,,,,,,REPSOL,L-V: 07:00-21:00; S-D: 09:00-14:00
ALBACETE,ALBACETE,ALBACETE,02006,CALLE CTRA. DE JAEN 79,I,-1.883694,38.988111,07/11/2023 06:00,1.659,,,1.789,,1.669,1.739,,,,,,,,,,,REPSOL,L-D: 06:00-23:00
ALBACETE,ALBACETE,ALBACETE,02006,CALLE ALCALDE CONANGLA (C.C. EROSKI) S/N,N,-1.847361,38.988972,09/11/2023 11:50,1.519,,,1.679,,1.529,1.659,,,,,,,,,,,FAMILY ENERGY,L-S: 07:00-23:00; D: 08:00-23:00
ALBACETE,ALBACETE,ALBACETE,02006,CARRETERA JAEN KM. 2,D,-1.871722,38.994667,11/11/2023 04:30,1.639,,1.689,1.789,,1.639,1.709,,,,,,,,,,,REPSOL,L-D: 24H
ALBACETE,ALBACETE,ALBACETE,02006,CR N-322 3378,I,-2.031861,38.925833,11/11/2023 12:43,1.669,,,1.799,,1.639,1.709,,,,,,,,,,,REPSOL,L-D: 06:30-22:00
ALBACETE,ALBACETE,ALBACETE,02006,CALLE ALMANSA 2,I,-1.847083,38.984139,11/11/2023 13:19,1.649,,,1.781,,1.659,1.725,,,,,,,,,,,CEPSA,L-D: 06:00-23:00
ALBACETE,ALBACETE,ALBACETE,02006,AVDA. DE LOS TOREROS S/N,N,-1.869889,38.998222,11/11/2023 00:00,1.579,,,,,1.549,1.599,,,,,,,,,,,INPEALSA,L-D: 07:00-23:00
ALBACETE,ALBACETE,ALBACETE,02006,AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN) S/N,N,-1.853306,38.982167,11/11/2023 00:00,1.579,,,,,1.549,,,,,,,,,,,,INPEALSA,L-D: 07:00-23:00
ALBACETE,ALBACETE,ALBACETE,02006,AVENIDA 1º DE MAYO S/N,N,-1.866806,38.985194,09/11/2023 18:31,1.589,,,,,1.569,,,,,,,,,,,,PETROCAMP,L-D: 07:00-23:00
ALBACETE,ALBACETE,ALBACETE,02006,CARRETERA NACIONAL 322 PTO KM 347 KM. 347,D,-1.935500,38.965639,11/11/2023 07:00,,,,,,1.549,,,,,,,,,,,,P347,L-S: 07:00-22:00
ALBACETE,ALBACETE,ALBACETE,02099,CARRETERA NACIONAL 301 KM. 256,D,-1.831639,38.929389,11/11/2023 07:00,1.579,,,,,1.529,,,,,,,,,,,,INPEALSA,L-D: 24H
